Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
24614589,WHOSIS_000001,COUNTRY,ARM,YEAR,EUR,Europe,SEX,BTSX,2010,,,,,,,73.1,73.11896,,,,2020-12-04T16:59:50.287+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614593,WHOSIS_000001,COUNTRY,ARM,YEAR,EUR,Europe,SEX,BTSX,2015,,,,,,,74.5,74.51096,,,,2020-12-04T16:59:50.38+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614597,WHOSIS_000001,COUNTRY,ARM,YEAR,EUR,Europe,SEX,BTSX,2019,,,,,,,76.0,76.02519,,,,2020-12-04T16:59:50.473+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614601,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,MLE,2000,,,,,,,72.0,71.99642,,,,2020-12-04T16:59:50.583+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614605,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,MLE,2010,,,,,,,73.6,73.56496,,,,2020-12-04T16:59:50.677+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614609,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,MLE,2015,,,,,,,74.4,74.43078,,,,2020-12-04T16:59:50.787+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614613,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,MLE,2019,,,,,,,74.9,74.88465,,,,2020-12-04T16:59:50.897+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614617,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,FMLE,2000,,,,,,,77.0,76.95264,,,,2020-12-04T16:59:50.99+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614621,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,FMLE,2010,,,,,,,78.2,78.24885,,,,2020-12-04T16:59:51.083+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614625,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,FMLE,2015,,,,,,,77.8,77.75526,,,,2020-12-04T16:59:51.147+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614629,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,FMLE,2019,,,,,,,78.0,77.9584,,,,2020-12-04T16:59:51.257+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614633,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,BTSX,2000,,,,,,,74.6,74.56184,,,,2020-12-04T16:59:51.367+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614637,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,BTSX,2010,,,,,,,75.9,75.94979,,,,2020-12-04T16:59:51.507+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614641,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,BTSX,2015,,,,,,,76.1,76.13984,,,,2020-12-04T16:59:51.65+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614645,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,BTSX,2019,,,,,,,76.5,76.45393,,,,2020-12-04T16:59:51.73+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614649,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,MLE,2000,,,,,,,77.1,77.12505,,,,2020-12-04T16:59:51.807+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614653,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,MLE,2010,,,,,,,79.8,79.8374,,,,2020-12-04T16:59:51.933+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614657,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,MLE,2015,,,,,,,80.4,80.40707,,,,2020-12-04T16:59:52.01+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614661,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,MLE,2019,,,,,,,81.3,81.2524,,,,2020-12-04T16:59:52.137+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
